Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Performance Period Rate,Number of  Patients Included in Hypercalcemia Measure Score Performance Period,Number of Hypercalcemia Patient Months Performance Period,Hypercalcemia Baseline Period Rate,Number of Hypercalcemia Patient Months Baseline Period,Hypercalcemia Performance Score Applied,NHSN Measure Score,NHSN Performance Period  Rate,Total number of eligible NHSN Patients,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2016 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of ownership record update
TAMPA GENERAL HOSPITAL ESRD,100128,102314,,PEDIATRIC DIALYSIS,1 TAMPA GENERAL CIRCLE,TAMPA,FL,33601,7,N/A,Insufficient data,4,Insufficient data,2,N/A,N/A,Insufficient data,6,35,Insufficient data,26,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,4,23,Insufficient data,30,N/A,N/A,N/A,Insufficient data,4,35,Insufficient data,23,N/A,N/A,Insufficient data,4,28,Insufficient data,19,N/A,N/A,N/A,Insufficient data,8,66,Insufficient data,61,N/A,10,0,13,N/A,10,10,100,No Reduction,09/01/1976,NOT A CHAIN,06/25/2003
TAUNTON REGIONAL DIALYSIS CENTER,222573,,,MILL RIVER PLACE,"1 WASHINGTON ST, SUITE 9",TAUNTON,MA,02780,1,0,2%,88,0%,85,Achievement,10,98%,109,930,97%,921,Achievement,N/A,Insufficient data,2,23,Insufficient data,21,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,7,69%,98,1023,64%,982,Achievement,6,10%,103,971,10%,905,Achievement,6,8,1%,109,876,2%,671,Achievement,0,2.386,142,10,8,10,58,No Reduction,07/22/2010,AMERICAN RENAL ASSOCIATES,08/14/2010
BMA OF BEAUFORT INC LOW COUNTRY DIALYSIS,422514,,,TWO PROFESSIONAL DRIVE,10 JOHNNY MORRALL CIRCLE,PORT ROYAL,SC,29935,6,0,2%,56,0%,54,Achievement,4,89%,89,631,81%,645,Improvement,N/A,Insufficient data,2,18,Insufficient data,24,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,6,67%,64,657,60%,642,Achievement,9,4%,67,605,7%,599,Achievement,8,5,3%,76,577,1%,689,Achievement,3,1.333,147,10,5,10,50,0.5%,02/10/1981,FRESENIUS MEDICAL CARE,03/28/2006
LIBERTY DIALYSIS - WASHINGTON,392716,,,90 WEST CHESTNUT STREET,100 EAST WING,WASHINGTON,PA,15301,4,10,0%,25,0%,25,Achievement,8,96%,33,271,97%,270,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,6,67%,30,288,68%,273,Achievement,5,11%,29,249,14%,257,Achievement,6,5,3%,69,530,4%,605,Achievement,3,1.280,105,10,6,10,70,No Reduction,07/06/2005,NOT A CHAIN,05/28/2005
NEW BRITAIN GENERAL HOSPITAL,070035,072310,,DIALYSIS UNIT,100 GRAND STREET,NEW BRITAIN,CT,06050,1,10,0%,81,0%,79,Achievement,8,96%,89,860,98%,884,Achievement,4,79%,13,114,87%,119,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,3,58%,81,890,57%,927,Achievement,1,19%,87,872,19%,875,Achievement,2,10,0%,74,588,1%,351,Achievement,7,0.589,135,10,9,10,77,No Reduction,08/25/1977,NOT A CHAIN,01/02/1980
SOUTHWESTERN VERMONT RENAL CENTER,472500,472301,,SVMC,100 HOSPITAL DRIVE,BENNINGTON,VT,05201,1,10,0%,31,0%,34,Achievement,10,99%,49,386,97%,403,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,5,62%,41,410,60%,426,Achievement,3,15%,42,367,19%,403,Achievement,4,6,2%,38,285,1%,286,Achievement,6,0.663,59,10,10,10,80,No Reduction,02/08/2000,NOT A CHAIN,01/16/2009
CARL T CURTIS DIALYSIS CLINIC,282525,,,ATTN DIALYSIS UNIT,100 INDIAN HILLS DR,MACY,NE,68039,12,10,0%,22,0%,19,Achievement,0,83%,24,224,88%,209,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,10,85%,23,245,80%,228,Achievement,10,2%,23,230,3%,210,Achievement,10,10,0%,23,104,Insufficient data,30,Achievement,0,Not Reported,31,0,5,10,55,No Reduction,08/27/2004,NOT A CHAIN,08/28/2004
FRESENIUS MEDICAL CARE WYNNEWOOD,392539,,,"LANKENAU HOSPITAL MEDICAL OFFICE BUILDING - EAST, GROUND FLOOR","100 WEST LANCASTER AVENUE, SUITE",WYNNEWOOD,PA,19096,4,10,0%,83,0%,90,Achievement,5,92%,92,803,93%,905,Achievement,8,91%,16,140,92%,131,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,2,53%,79,830,54%,911,Achievement,7,8%,86,792,8%,906,Achievement,5,10,0%,145,1219,1%,1428,Achievement,4,1.185,150,10,8,9,72,No Reduction,11/17/1983,FRESENIUS MEDICAL CARE,05/05/2000
DAVITA - WYNCOTE,392635,,,CEDARBROOK PLAZA,"1000 EASTON ROAD, SUITE 250",WYNCOTE,PA,19095,4,10,0%,69,1%,75,Achievement,9,97%,89,786,98%,879,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,3,58%,76,818,54%,927,Achievement,9,3%,82,783,6%,886,Achievement,6,10,0%,119,1007,0%,1302,Achievement,4,1.114,164,10,10,10,82,No Reduction,03/25/1998,DAVITA,09/10/2010
DAVITA - FRANKLIN DIALYSIS CENTER,392531,,,150 SOUTH INDEPENDENCE WEST,"101 PUBLIC LEDGER BUILDING, SUIT",PHILADELPHIA,PA,19106,4,10,0%,64,0%,62,Achievement,10,98%,88,741,99%,771,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,8,71%,72,772,66%,777,Achievement,9,3%,84,749,5%,742,Achievement,9,10,0%,120,1008,0%,1146,Achievement,1,1.644,167,10,10,10,84,No Reduction,09/01/1981,DAVITA,11/04/2003
PERRY DIALYSIS CENTER,112683,,,D/B/A PERRY DIALYSIS CENTER,1027 KEITH DR,PERRY,GA,31069,6,10,0%,43,0%,36,Achievement,10,99%,52,475,96%,405,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,7,69%,48,508,71%,441,Achievement,7,8%,49,476,10%,405,Achievement,7,8,1%,59,513,1%,519,Achievement,8,0.362,83,10,10,10,90,No Reduction,08/04/2000,DAVITA,09/06/2001
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE,050686,052382,,PERITONEAL DIALYSIS UNIT,"10800 MAGNOLIA AVENUE, MODULE 1X",RIVERSIDE,CA,92505,18,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,8,1%,79,635,3%,734,Achievement,N/A,Insufficient data,0,N/A,N/A,N/A,No Score Calculated,No Reduction,11/25/1992,KAISER PERMANENTE,05/28/1999
EASTERN MAINE DIALYSIS,202514,,,ESRD SATELLITE UNIT,11 SHORT STREET,ELLSWORTH,ME,04605,1,10,0%,41,0%,39,Achievement,9,97%,68,506,97%,493,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,6,67%,55,541,60%,495,Achievement,4,13%,57,485,19%,425,Achievement,5,10,0%,52,375,0%,267,Achievement,4,1.018,106,10,10,10,81,No Reduction,11/01/2012,DAVITA,11/01/2012
WASHINGTON HOSPITAL CENTER,090011,092304,,SECTION OF NEPHROLOGY,110 IRVING ST NW   RM 2A70,WASHINGTON,DC,20010,5,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,N/A,N/A,No Score Calculated,No Reduction,09/01/1977,NOT A CHAIN,09/02/1999
ST. JOSEPH HOSPITAL RENAL CENTER,052368,050069,,SR. ELIZABETH BLDG.,1100 W. STEWART DRIVE,ORANGE,CA,92868,18,2,1%,102,1%,107,Achievement,9,97%,100,970,98%,1019,Achievement,8,90%,18,103,89%,88,Achievement,N/A,Insufficient data,4,8,Insufficient data,4,N/A,9,7,68%,108,1182,69%,1215,Achievement,6,10%,111,1140,10%,1155,Achievement,6,8,1%,194,1675,1%,1978,Achievement,8,0.260,216,10,10,10,74,No Reduction,08/15/1977,NOT A CHAIN,05/19/1999
CHILDRENS NATIONAL MEDICAL CENTER,093300,092305,,CHILDRENS HOSP DIALYSIS UNIT RM 3130,111 MICHIGAN AVE NW,WASHINGTON,DC,20010,5,N/A,Insufficient data,3,Insufficient data,1,N/A,N/A,Insufficient data,2,18,Insufficient data,9,N/A,N/A,Insufficient data,2,20,Insufficient data,18,N/A,N/A,Insufficient data,9,58,82%,67,N/A,N/A,N/A,Insufficient data,2,18,Insufficient data,6,N/A,N/A,Insufficient data,2,18,Insufficient data,3,N/A,N/A,N/A,Insufficient data,4,18,Insufficient data,36,N/A,7,0.533,31,N/A,8,10,75,No Reduction,08/01/1977,NOT A CHAIN,01/02/1980
LOMA LINDA UNIVERSITY MEDICAL CENTER,050327,052342,,CHILDRENS HOSPITAL,"11234 ANDERSON ST., RM. 2812",LOMA LINDA,CA,92354,18,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,2,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,9,48,Insufficient data,60,N/A,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,4,N/A,N/A,N/A,Insufficient data,2,12,Insufficient data,3,N/A,3,1.238,27,N/A,10,10,48,0.5%,08/11/1977,NOT A CHAIN,06/04/1999
DCI BRIGHAM/FAULKNER,222552,,,DCI BRIGHAM/FAULKNER,"1153 CENTRE STREET, BELKIN HOUSE",JAMAICA PLAIN,MA,02130,1,10,0%,106,0%,111,Achievement,3,89%,103,854,90%,892,Achievement,4,79%,34,262,70%,224,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,3,7,69%,94,967,65%,1015,Achievement,6,9%,102,894,12%,939,Achievement,6,3,4%,172,1344,4%,1620,Achievement,7,0.408,166,10,7,10,67,No Reduction,06/04/2001,"DIALYSIS CLINIC, INC.",06/21/2008
RENAL TREATMENT CENTER - WHEATON,212576,,,WHEATON PARK SHOPPING CTR,11941 GEORGIA AVE,WHEATON,MD,20902,5,10,0%,58,0%,72,Achievement,8,96%,78,661,96%,714,Achievement,N/A,Insufficient data,3,8,96%,74,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,64%,64,685,68%,731,Achievement,6,10%,67,635,10%,696,Achievement,6,8,1%,79,662,1%,964,Achievement,9,0.190,139,10,7,10,84,No Reduction,09/10/1997,DAVITA,01/02/1980
AVANTUS IRVING PLACE DIALYSIS CENTER,332704,,,IRVING PLACE DIALYSIS,120 EAST 16TH STREET 6TH FLOOR,NEW YORK,NY,10003,2,2,1%,125,1%,97,Achievement,8,95%,146,1397,97%,580,Achievement,N/A,Insufficient data,10,43,Insufficient data,29,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,7,68%,138,1471,65%,579,Achievement,4,13%,142,1396,13%,231,Achievement,5,8,1%,206,1713,1%,1997,Achievement,0,Not Reported,247,10,10,10,58,No Reduction,05/29/1996,FRESENIUS MEDICAL CARE,08/01/2013
VCU MEDICAL CENTER,490032,492303,,RENAL DIALYSIS UNIT,1200 E MARSHALL ST    BOX 985904,RICHMOND,VA,23298,5,10,0%,13,0%,18,Achievement,0,48%,60,185,54%,226,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,1,1,Insufficient data,13,N/A,0,0,7%,34,214,20%,219,Achievement,0,53%,22,120,46%,138,Achievement,0,6,2%,28,177,1%,164,Achievement,0,2.664,370,N/A,3,10,39,1.0%,08/01/1977,STATE OWNED,01/02/1980
OU MEDICAL CENTER-CHILDRENS DIALYSIS,370093,372311,,DIALYSIS UNIT 6 EAST,1200 EVERETT DR STE 6015,OKLAHOMA CITY,OK,73104,13,N/A,Insufficient data,1,Insufficient data,0,N/A,N/A,Insufficient data,2,6,Insufficient data,1,N/A,N/A,Insufficient data,1,8,Insufficient data,0,N/A,N/A,Insufficient data,5,44,Insufficient data,26,N/A,N/A,N/A,Insufficient data,1,8,Insufficient data,0,N/A,N/A,Insufficient data,1,5,Insufficient data,0,N/A,N/A,N/A,Insufficient data,5,25,Insufficient data,14,N/A,0,Not Reported,15,N/A,10,10,25,1.5%,02/05/1998,HCA HEALTH SERVICES OF OKLAHOMA,01/02/1998
WOODMERE DIALYSIS LLC,332634,,,REHABILITATION AND HEALTH CARE CENTER,121 FRANKLIN PLACE,WOODMERE,NY,11598,2,10,0%,40,0%,41,Achievement,4,91%,92,455,90%,449,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,0,44%,48,423,41%,430,Achievement,0,37%,57,359,32%,347,Achievement,0,6,10%,78,485,25%,310,Improvement,0,Not Reported,201,N/A,10,10,54,No Reduction,06/11/2003,NOT A CHAIN,06/12/2003
SAINT VINCENT'S HOSPITAL,220028,222319,,HEMODIALYSIS UNIT,"123 SUMMER ST, SUITE 380",WORCESTER,MA,01608,1,10,0%,50,0%,41,Achievement,3,89%,53,433,88%,329,Achievement,0,7%,17,149,0%,96,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,2,7,68%,45,469,66%,382,Achievement,0,22%,53,397,21%,357,Achievement,3,5,4%,63,474,9%,634,Improvement,1,1.657,84,10,9,10,55,No Reduction,11/29/1991,NOT A CHAIN,01/01/2006
NORTH SUBURBAN DIALYSIS CENTER (BMA ESSEX COUNTY),222512,,,AUGUSTINE PLAZA,"124 BROADWAY, ROUTE 1N",SAUGUS,MA,01906,1,10,0%,72,0%,77,Achievement,8,95%,111,821,95%,861,Achievement,N/A,Insufficient data,2,14,Insufficient data,12,N/A,N/A,Insufficient data,1,5,Insufficient data,0,N/A,8,4,60%,97,921,65%,963,Achievement,2,17%,105,832,12%,857,Achievement,3,3,4%,134,930,5%,1177,Achievement,8,0.326,170,10,6,10,71,No Reduction,10/22/1990,FRESENIUS MEDICAL CARE,03/15/2006
FAYETTEVILLE DIALYSIS,112657,,,DIALYSIS UNIT,1279 HWY 54 WEST #110,FAYETTEVILLE,GA,30214,6,10,0%,59,0%,52,Achievement,8,95%,77,594,98%,539,Achievement,10,99%,12,95,Insufficient data,83,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,6,65%,61,624,69%,572,Achievement,9,4%,65,567,6%,526,Achievement,8,6,2%,102,844,1%,926,Achievement,7,0.433,131,10,10,10,84,No Reduction,01/27/1999,DAVITA,04/24/2015
FLETCHER ALLEN HEALTHCARE - BARRE SATELLITE,473500,,,CENTRAL VERMONT HOSPITAL / RENAL DIALYSIS UNIT,"130 FISHER ROAD, FLOOR 3 / P.O.B",BARRE,VT,05641,1,10,0%,28,0%,30,Achievement,9,97%,47,337,93%,347,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,3,58%,35,346,64%,346,Achievement,0,24%,37,312,19%,332,Achievement,1,8,1%,35,222,0%,282,Achievement,8,0.232,62,10,4,10,74,No Reduction,09/24/1991,NOT A CHAIN,01/01/2006
DUKE UNIVERSITY MEDICAL CENTER DIALYSIS UNIT,343504,340030,,PO BOX 2904,1306 MORREENE ROAD,DURHAM,NC,27705,6,10,0%,39,0%,44,Achievement,9,97%,39,343,93%,383,Achievement,9,92%,20,159,91%,159,Achievement,N/A,Insufficient data,1,2,Insufficient data,4,N/A,9,5,63%,35,358,59%,406,Achievement,5,11%,38,340,17%,391,Achievement,5,8,1%,49,388,1%,329,Achievement,7,0.434,55,10,3,10,78,No Reduction,01/01/2006,NOT A CHAIN,01/02/2006
GUNDERSEN LUTHERAN RENAL DIALYSIS - RICHLAND CENTER,523532,,,CENTER CREEK PROF BLDG,1313 W SEMINARY ST,RICHLAND CENTER,WI,53581,11,N/A,Insufficient data,9,Insufficient data,0,N/A,10,98%,12,78,Insufficient data,0,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,80%,11,82,Insufficient data,0,Achievement,10,0%,11,46,Insufficient data,0,Achievement,10,10,0%,13,84,Insufficient data,0,Achievement,N/A,N/A,15,N/A,10,10,100,No Reduction,02/19/2014,GUNDERSEN LUTHERAN,06/02/2009
